RU;37;1443;TransparentCalls;0.74;318;57;42
US;10;570;E-Voice;0.63;152;36;14
GB;50;844;TransparentCalls;0.81;965;19;16
FR;51;1585;TransparentCalls;0.91;140;28;7
BL;50;371;E-Voice;0.69;503;60;4
AT;55;556;TransparentCalls;0.62;737;20;21
BG;0;1364;E-Voice;0.73;74;76;56
DK;71;334;JustPhone;0.61;226;54;45
CA;23;1024;JustPhone;0.92;14;30;49
ES;13;1351;E-Voice;0.77;285;79;8
CH;97;1719;JustPhone;0.93;373;91;5
TR;42;1897;TransparentCalls;0.92;211;27;42
PE;22;62;JustPhone;0.66;968;2;11
NZ;58;959;JustPhone;0.76;295;59;34
MC;71;269;E-Voice;0.82;819;88;43
